# Pay Group 1 Basic hourly rates of pay (in dollars)
# Section: Appendix A
"Table 13 Notes Table 13 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 13 note * referrer"

# APB Apprentices 3 years (3)
# Section: Appendix A
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) January 1, 2022",27.52,29.54,31.50,33.46,35.41,37.42
"A) January 1, 2023 table 14 note *",28.48,30.57,32.60,34.63,36.65,38.73
"X) January 1, 2023 - pay line adjustment table 14 note *",28.84,30.95,33.01,35.06,37.11,39.21
"B) January 1, 2024 table 14 note *",29.71,31.88,34.00,36.11,38.22,40.39
"Y) January 1, 2024 - pay line adjustment table 14 note *",29.86,32.04,34.17,36.29,38.41,40.59
"C) January 1, 2025 table 14 note *",30.46,32.68,34.85,37.02,39.18,41.40
"Z) January 1, 2025 - wage adjustment table 14 note *",30.54,32.76,34.94,37.11,39.28,41.50
"D) January 1, 2026",31.15,33.42,35.64,37.85,40.07,42.33
"Table 14 Notes Table 14 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 14 note * referrer"

# Pay Group 1 Basic hourly rates of pay (in dollars) Leadhand
# Section: Appendix A
Effective date,Step 1
"$) January 1, 2022",1.97
"A) January 1, 2023 table 15 note *",2.04
"X) January 1, 2023 - pay line adjustment table 15 note *",2.07
"B) January 1, 2024 table 15 note *",2.13
"Y) January 1, 2024 - pay line adjustment table 15 note *",2.14
"C) January 1, 2025 table 15 note *",2.18
"Z) January 1, 2025 - wage adjustment table 15 note *",2.19
"D) January 1, 2026",2.23
"Table 15 Notes Table 15 Note 1 Rates of pay will change within 180 days after the signing of the collective agreement. In accordance with Appendix E, rates prior to the salary change will be paid as lump-sum payments: Year 1 (2023) increases (that is, “A” and “X”): paid as a retroactive lump-sum payment equal to a 3.50% economic increase and a 1.25% pay line adjustment, for a compounded total increase of 4.794% of January 1, 2022 . Year 2 (2024) increases (that is, “B” and “Y”): paid as a retroactive lump-sum payment equal to the year 1 increases plus a 3.00% economic increase and a 0.50% payline adjustment for a compounded total increase of 8.477% of January 1, 2022 , rates. Year 3 (2025) increases (that is, “C,” and “Z”): paid as a retroactive lump-sum payment equal to the year 1 and 2 increases plus a 2.00% economic increase and a 0.25% wage adjustment for a compounded total increase of 10.923% of January 1, 2022 , rates. (Arbitral award, issued on April 8, 2025 ) Return to table 15 note * referrer"

