# EL-01: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"A) September 1, 2022",229.15,237.90,256.85,275.81,295.52
"X) September 1, 2022 - Wage Adjustment",232.01,240.88,260.06,279.26,299.21
"B) September 1, 2023",238.98,248.10,267.86,287.64,308.19
"Y) September 1, 2023 - Market Adjustment",240.17,249.34,269.20,289.08,309.73
"C) September 1, 2024",244.97,254.33,274.58,294.86,315.92
"Z) September 1, 2024 - Wage Adjustment",245.59,254.97,275.27,295.59,316.71
"D) September 1, 2025",250.50,260.07,280.77,301.50,323.05

# EL-04: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",246.81,256.26,265.78,275.28,286.29,305.56
"A) September 1, 2022",255.45,265.23,275.08,284.92,296.31,316.26
"X) September 1, 2022 - Wage Adjustment",258.64,268.55,278.52,288.48,300.02,320.21
"B) September 1, 2023",266.40,276.61,286.88,297.13,309.02,329.81
"Y) September 1, 2023 - Market Adjustment",267.73,277.99,288.31,298.62,310.56,331.46
"C) September 1, 2024",273.08,283.55,294.07,304.59,316.77,338.09
"Z) September 1, 2024 - Wage Adjustment",273.77,284.26,294.81,305.35,317.56,338.94
"D) September 1, 2025",279.24,289.94,300.71,311.46,323.92,345.71

# EL-05: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",273.65,284.23,294.77,305.30,317.52,338.90
"A) September 1, 2022",283.23,294.18,305.08,315.99,328.63,350.76
"X) September 1, 2022 - Wage Adjustment",286.77,297.86,308.90,319.94,332.74,355.14
"B) September 1, 2023",295.37,306.79,318.17,329.53,342.72,365.79
"Y) September 1, 2023 - Market Adjustment",296.85,308.33,319.76,331.18,344.44,367.62
"C) September 1, 2024",302.79,314.49,326.15,337.81,351.33,374.97
"Z) September 1, 2024 - Wage Adjustment",303.54,315.28,326.97,338.65,352.20,375.91
"D) September 1, 2025",309.61,321.58,333.51,345.42,359.25,383.43

# EL-06: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",302.00,313.72,325.43,337.16,350.65,374.26
"A) September 1, 2022",312.58,324.69,336.82,348.95,362.92,387.36
"X) September 1, 2022 - Wage Adjustment",316.48,328.75,341.03,353.32,367.46,392.20
"B) September 1, 2023",325.98,338.62,351.26,363.91,378.48,403.97
"Y) September 1, 2023 - Market Adjustment",327.61,340.31,353.02,365.74,380.37,405.99
"C) September 1, 2024",334.16,347.12,360.08,373.05,387.98,414.11
"Z) September 1, 2024 - Wage Adjustment",334.99,347.98,360.98,373.98,388.95,415.14
"D) September 1, 2025",341.69,354.94,368.20,381.46,396.73,423.44

# EL-07: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",330.88,343.11,355.38,367.62,382.33,408.06
"A) September 1, 2022",342.46,355.12,367.82,380.49,395.71,422.34
"X) September 1, 2022 - Wage Adjustment",346.74,359.56,372.41,385.25,400.66,427.62
"B) September 1, 2023",357.14,370.34,383.59,396.80,412.68,440.45
"Y) September 1, 2023 - Market Adjustment",358.93,372.19,385.50,398.79,414.74,442.66
"C) September 1, 2024",366.11,379.64,393.21,406.77,423.04,451.51
"Z) September 1, 2024 - Wage Adjustment",367.02,380.59,394.19,407.78,424.10,452.64
"D) September 1, 2025",374.36,388.20,402.08,415.94,432.58,461.69

# EL-08: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",357.18,369.73,382.28,394.82,410.62,438.24
"A) September 1, 2022",369.68,382.67,395.66,408.64,424.99,453.58
"X) September 1, 2022 - Wage Adjustment",374.30,387.46,400.61,413.75,430.30,459.25
"B) September 1, 2023",385.53,399.08,412.63,426.16,443.21,473.03
"Y) September 1, 2023 - Market Adjustment",387.46,401.08,414.69,428.29,445.43,475.39
